num,nombre,partido,eleccion,entidad,camara,propietario,twitter,facebook,youtube,pagina_personal
345,Olvera Correa Luis,PRI,Mayoría Relativa,Michoacán,D,PROPIETARIO,LuisOlveraPri,LuisOlveraOficial,,
346,Ordaz Martínez María del Carmen,PRI,Mayoría Relativa,Yucatán,D,PROPIETARIO,OrdazMaricarmen ,mariadelcarmen.ordazmartinez,,
347,Orihuela García Javier,PRD,Mayoría Relativa,Morelos,D,PROPIETARIO,,ingjavier.orihuelagarcia,,
348,Orive Bellinger Adolfo,PT,Representación Proporcional,Distrito Federal,D,PROPIETARIO,Adolfo_OriveB,Adolfo-Orive/133491186663318,,
349,Orozco Gómez Javier,PVEM,Representación Proporcional,México,D,PROPIETARIO,,,,
350,Orta Coronado Marcelina,PAN,Mayoría Relativa,Tamaulipas,D,PROPIETARIO,,,,
351,Ortega Pacheco Guadalupe del Socorro,PRI,Representación Proporcional,Yucatán,D,PROPIETARIO,,,,
352,Ortiz Ahlf Loretta,PT,Representación Proporcional,Distrito Federal,D,PROPIETARIO,,,,
353,Ortiz García Salvador,PRI,Mayoría Relativa,Michoacán,D,PROPIETARIO,Salvador_OrtizG,ChavaOrtizGarcia,,
354,Ortiz Mantilla María Isabel,PAN,Mayoría Relativa,Puebla,D,PROPIETARIO,MarisaOrtizM,marisaortiz2012,,
355,Othón Zayas Máximo,PAN,Mayoría Relativa,Sonora,D,PROPIETARIO,MaximoOthon,MaximoOthonZayas,,http://maximoothon.com/
356,Oviedo Herrera J. Jesús,PAN,Mayoría Relativa,Guanajuato,D,PROPIETARIO,JesusOviedoH,Jesús-Oviedo-Herrera,,
357,Pacheco Díaz Germán,PAN,Mayoría Relativa,Tamaulipas,D,PROPIETARIO,GermanPachecoDi,GPachecoDiputado,GPachecoDiputado,
358,Pacheco Rodríguez Ricardo Fidel,PRI,Representación Proporcional,Durango,D,PROPIETARIO,,Ricardo-Pacheco-Rodriguez,,
359,Padilla Fierro Román Alfredo,PRI,Mayoría Relativa,Sinaloa,D,PROPIETARIO,,romanalfredo.padillafierro,,
360,Padilla Navarro Cesario,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,CESARIOPADILLA,,,
361,Padilla Ramos Carla Alicia,PVEM,Representación Proporcional,México,D,PROPIETARIO,cpadillaramos,Dip-Carla-Alicia-Padilla-Ramos,carlapadillaramos,http://carlapadilla.com.mx/
362,Pantoja Hernández Leslie,PAN,Representación Proporcional,Sonora,D,PROPIETARIO,lesliepantoja,Leslie-Pantoja,,
363,Pariente Gavito María del Rosario de Fátima,PVEM,Mayoría Relativa,Chiapas,D,PROPIETARIO,RosarioPariente,chachitapariente,,
364,Paz Alonzo Raúl,PAN,Mayoría Relativa,Yucatán,D,PROPIETARIO,RaulPaz_IV,RaulPazAlonzo,,http://www.raulpazalonzo.com/
365,Pazzi Maza Zita Beatriz,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,ZitaPazzi,Zita-Pazzi-Maza,,
366,Pedraza Aguilera Flor de María,PAN,Representación Proporcional,Distrito Federal,D,PROPIETARIO,FlorPedraza,flor.p.aguilera.3,,
367,Pelayo Covarrubias Francisco,PAN,Mayoría Relativa,Baja California Sur,D,PROPIETARIO,,panchopelayocovarrubias,,
368,Peña Avilés Gerardo,PAN,Mayoría Relativa,Sinaloa,D,PROPIETARIO,GerardoElArquiP,Gerardo-Peña-Aviles/201711533258429,Gerardo Peña Avilés,
369,Pérez Anzueto Hugo Mauricio,PRI,Mayoría Relativa,Chiapas,D,PROPIETARIO,AnzuetoDiputado,hugo.perezanzueto,,
370,Pérez Camarena Carmen Lucía,PAN,Representación Proporcional,Jalisco,D,PROPIETARIO,Lucyperez2012,lucia.perez.9655,,
371,Pérez de Alba José Noel,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,chachodiputado,noel.perezdealba,,
372,Pérez Escalante Elvia María,PRI,Representación Proporcional,Campeche,D,PROPIETARIO,perezelviam,elvia.perezescalante.75,,
373,Pérez Hernández Rosa Elba,PVEM,Mayoría Relativa,Guanajuato,D,PROPIETARIO,rosaelba3,Rosa-Elba-Perez,,http://rosaelbaperez.com/
374,Pérez Tejada Padilla David,PVEM,Mayoría Relativa,Baja California,D,PROPIETARIO,davidptp07,davidptp07,,http://www.davidpereztejada.com/
375,Ponce Orozco Norma,PRI,Mayoría Relativa,México,D,PROPIETARIO,NormaPonceO,NormaPonceE,normaponcetv,
376,Porras Pérez Pedro,PRD,Representación Proporcional,México,D,PROPIETARIO,,pedro.porrasperez,,
377,Portillo Martínez Vicario,PRD,Mayoría Relativa,Guerrero,D,PROPIETARIO,,vicario.portillomartinez,,
378,Posadas Hernández Domitilo,PRD,Representación Proporcional,México,D,PROPIETARIO,PrensaDomitiloP,domitiloposadas,,http://domitiloposadashernandez.com.mx/
379,Prieto Herrera Humberto Armando,PAN,Mayoría Relativa,Tamaulipas,D,PROPIETARIO,Betoprietoh,,,
380,Quian Alcocer Eduardo Román,PRI,Mayoría Relativa,Quintana Roo,D,PROPIETARIO,RomanQuian,RomanQuianAlcocer,romanquiantv,www.RomanQuian.com.mx
381,Quiñones Canales Lourdes Eulalia,PRI,Representación Proporcional,Durango,D,PROPIETARIO,lourdesquinones,Lourdes-Quiñones-Canales,,
382,Quintana León Socorro de la Luz,PRI,Mayoría Relativa,Michoacán,D,PROPIETARIO,SocorroQuintan/quintanasoc,socorroql,http://www.youtube.com/channel/UCzBHL3oNrdYk387d_6KvHLQ,
383,Quintana Salinas Esther,PAN,Mayoría Relativa,Coahuila,D,PROPIETARIO,estherquintanas,esther.quintanasalinas,,
384,Quiroga Anguiano Karen,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,KarenQuirogaA,KarenQuirogaAnguiano,,http://www.karenquiroga.mx/
385,Ramírez Aguilar Óscar Eduardo,PVEM,Mayoría Relativa,Chiapas,D,PROPIETARIO,,oscareduardo.ramirezaguilar,,
386,Ramírez Diez Gutiérrez María Concepción,PAN,Representación Proporcional,San Luis Potosí,D,PROPIETARIO,conchitadiez,ConchitaMX,,http://conchita.mx/
387,Ramírez Romero Luis Miguel,PAN,Representación Proporcional,Morelos,D,PROPIETARIO,,luismiguelramirezromero,luismiguelrrpan,
388,Rangel Espinosa José,PRI,Mayoría Relativa,México,D,PROPIETARIO,,,,
389,Rangel Segovia Alejandro,PRI,Mayoría Relativa,Guanajuato,D,PROPIETARIO,conalexrangel,conalexrangel1,conalexrangel,http://www.conalexrangel.com/
390,Reina Lizárraga José Enrique,PAN,Mayoría Relativa,Sonora,D,PROPIETARIO,EnriqueRL,Enrique-Reina,enriquereinal,http://www.enriquereina.com/web/
391,Rellstab Carreto Tanya,PRI,Mayoría Relativa,México,D,PROPIETARIO,TANYA_RELLSTAB,tanya.rellstabcarreto,,
392,Retamoza Vega Patricia Elena,PRI,Representación Proporcional,Jalisco,D,PROPIETARIO,pattyretamoza,Patricia-Retamoza-Vega,,
393,Reyes Gamíz Roberto Carlos,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,ReyesGamiz,,,http://carlosreyesgamiz.blogspot.mx/
394,Reyes Montiel Carla Guadalupe,PRD,Representación Proporcional,México,D,PROPIETARIO,,carla.reyesmontiel,,
395,Reza Gallegos Rocío Esmeralda,PAN,Representación Proporcional,Chihuahua,D,PROPIETARIO,Rocio_Reza,DiputadaRocioReza,,
396,Ricalde Magaña Alicia Concepción,PAN,Representación Proporcional,Quintana Roo,D,PROPIETARIO,AliciaRicaldeOf,aliciaconcepcion.ricaldemagana,,
397,Rincón Chanona Sonia,PANAL,Representación Proporcional,Chiapas,D,PROPIETARIO,SoniaRinconC,Sonia-Rincón-Chanona,,
398,Rivadeneyra Hernández Alfredo,PAN,Representación Proporcional,México,D,PROPIETARIO,arivadeneyrah,,,
399,Rivera Villanueva Erick Marte,PAN,Representación Proporcional,Hidalgo,D,PROPIETARIO,,erickmarte.riveravillanueva,,
400,Robledo Leal Ernesto Alfonso,PAN,Mayoría Relativa,Nuevo León,D,PROPIETARIO,Alfonso_Robledo,AlfonsoRobledoL,AlfonsoRobledoL,http://www.alfonsorobledo.com/
401,Roblero Gordillo Héctor Hugo,PT,Representación Proporcional,Chiapas,D,PROPIETARIO,,hectorhugo.roblerogordillo,,
402,Robles Aguirre Mayra Karina,PRI,Mayoría Relativa,Baja California,D,PROPIETARIO,MayraRoblesA,Mayra-Karina-Robles-Aguirre,,
403,Rocha Piedra Juan Manuel,PRI,Mayoría Relativa,Nayarit,D,PROPIETARIO,,RochaPiedra,Juan Manuel Rocha Piedra,
404,Rodríguez Doval Fernando,PAN,Representación Proporcional,Distrito Federal,D,PROPIETARIO,ferdoval,FerRodriguezDoval,Fernando Doval,
405,Rodríguez Montero Francisco Tomás,PRD,Mayoría Relativa,Morelos,D,PROPIETARIO,,,,
406,Rodríguez Vallejo Diego Sinhue,PAN,Mayoría Relativa,Guanajuato,D,PROPIETARIO,diegosinhue,diegosinhue.rodriguezvallejo,,
407,Rojo García de Alba José Antonio,PRI,Mayoría Relativa,Hidalgo,D,PROPIETARIO,Joseantoniorojo,,,
408,Román Bojórquez Jesús Tolentino,PRI,Mayoría Relativa,México,D,PROPIETARIO,,JesusTolentinoRomanBojorquez,,
409,Romero Sevilla Leonor,PAN,Representación Proporcional,Tlaxcala,D,PROPIETARIO,LeonorAzul,leonorfuerzaazul,,
410,Romero Guzmán Rosa Elia,PT,Mayoría Relativa,Oaxaca,D,PROPIETARIO,RomeroRosaElia,Rosa-Elia-Romero-Guzman,,
411,Romero Lozano María Fernanda,MC,Representación Proporcional,Tabasco,D,PROPIETARIO,,,,
412,Romero Valencia Salvador,PRI,Mayoría Relativa,Michoacán,D,PROPIETARIO,ChavoRomero,SalvadorRomeroValencia,SALVADOR ROMERO VALENCIA,
413,Romo Fonseca Bárbara Gabriela,PVEM,Mayoría Relativa,Zacatecas,D,PROPIETARIO,barbararomo,BarbaraRomoF,Barbara Romo Fonseca,
414,Rosas Montero Lizbeth Eugenia,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,,,
415,Rosiñol Abreu Jorge,PAN,Representación Proporcional,Campeche,D,PROPIETARIO,RosinolJorge,,,
416,Rubio Lara Blas Ramón,PRI,Mayoría Relativa,Sinaloa,D,PROPIETARIO,BLASRUBIO_,,,
417,Ruiz Arriaga Genaro,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,GenaroRuizA,genaroruizarriaga,,
418,Ruiz Moronatti Roberto,PRI,Mayoría Relativa,México,D,PROPIETARIO,,,RMORONATTI,
419,Ruiz Sandoval Cristina,PRI,Mayoría Relativa,México,D,PROPIETARIO,CristinaRuiz_S,ruizscristina,cristinanaucalpan,
420,Sada Pérez Verónica,PAN,Representación Proporcional,Nuevo León,D,PROPIETARIO,VeroSadaP,,,
421,Sahui Rivero Mauricio,PRI,Mayoría Relativa,Yucatán,D,PROPIETARIO,mauriciosahui,MauricioSahui,mauriciosahuirivero,
422,Salazar Trejo Jessica,PRD,Mayoría Relativa,México,D,PROPIETARIO,jessica91398273,jessica.salazartrejo.9,,
423,Saldaña Fraire Graciela,PRD,Mayoría Relativa,Quintana Roo,D,PROPIETARIO,GracielaSaldana,,saldanagraciela,
424,Saldaña Hernández Margarita,PAN,Representación Proporcional,Distrito Federal,D,PROPIETARIO,MargaretSaldana,Msaldanah,,
425,Salgado Delgado Fernando,PRI,Representación Proporcional,México,D,PROPIETARIO,,,,
426,Salgado Parra Jorge,PRD,Mayoría Relativa,Guerrero,D,PROPIETARIO,jorgesalgado10//jorgesalgadop,jorgesalgado10,SalgadoPtv,
427,Salgado Peña Abel Octavio,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,SalgadoAbel,AbelSalgadoPena,abelsalgadopena,
428,Salinas Mendiola Glafiro,PAN,Mayoría Relativa,Tamaulipas,D,PROPIETARIO,GlafiroSalinas,Glafiro-Salinas-Mendiola,Glafiro Salinas Mendiola,
429,Salinas Garza José Arturo,PAN,Representación Proporcional,Nuevo León,D,PROPIETARIO,jarturosalinas,,,
430,Salinas Narváez Javier,PRD,Representación Proporcional,México,D,PROPIETARIO,DipJSalinas,javier.salinasnarvaez.9,javiersalinasnarvaez,
431,Salinas Pérez Josefina,PRD,Representación Proporcional,México,D,PROPIETARIO,,,,
432,Sámano Peralta Miguel,PVEM,Mayoría Relativa,México,D,PROPIETARIO,Miguelsamanop,miguelsamanop,SamanoMiguel,
433,Sampayo Ortiz Ramón Antonio,PAN,Representación Proporcional,Tamaulipas,D,PROPIETARIO,rasampayo,ramonantonio.sampayoortiz,,
434,Samperio Montaño Juan Ignacio,MC,Representación Proporcional,México,D,PROPIETARIO,,,,
435,Sánchez Ruiz Mario,PAN,Representación Proporcional,Sonora,D,PROPIETARIO,mariosanchez_m,mario.sanchezruiz.397,,
436,Sánchez Camacho Alejandro,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,Sánchez Camacho Alejandro,alejandrosanchez76,
437,Sánchez Cruz Leopoldo,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,SanchezLeopoldo,leopoldo.pri,,
438,Sánchez Romero Carlos,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,CandidatoCarlos,Carlos-Sánchez-Romero,,
439,Sánchez Santiago María Guadalupe,PRI,Mayoría Relativa,Tlaxcala,D,PROPIETARIO,lupita_snchez,,,
440,Sánchez Torres Guillermo,PRD,Representación Proporcional,Distrito Federal,D,PROPIETARIO,,guillermo.sancheztorres.39,,
441,Sansores Sastre Antonio,PRD,Mayoría Relativa,Tabasco,D,PROPIETARIO,AntonioSansores,AntonioSansoresSastre,ANTONIOSANSORES,
442,Schroeder Verdugo María Fernanda,PRI,Mayoría Relativa,Baja California,D,PROPIETARIO,,FernandaPorTi02,,
443,Serralde Martínez Víctor,PAN,Mayoría Relativa,Veracruz,D,PROPIETARIO, Vserralde,VictorSerraldeMartinez,,
444,Serrano Toledo Rosendo,PRD,Representación Proporcional,Oaxaca,D,PROPIETARIO,RosendoSerranoT,rosendo.serranotoledo,,
445,Sosa Altamira William Renan,PRI,Mayoría Relativa,Yucatán,D,PROPIETARIO,WilliamSosaA,WilliamSosaAltamira,,
446,Sosa Govea Martha Leticia,PAN,Representación Proporcional,Colima,D,PROPIETARIO,martha_sosa1,marthaleticia.sosagovea,MarthaSosaGovea,
447,Soto Martínez José,MC,Mayoría Relativa,Oaxaca,D,PROPIETARIO,josesm2,diputadojose.soto,José Soto Martínez,
448,Sotomayor Chávez Jorge Francisco,PAN,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,Jorge_Sotomayor,sotomayor.jorge,jorgesotomayor15,
449,Talamante Lemas Dora María Guadalupe,PANAL,Representación Proporcional,Sonora,D,PROPIETARIO,Dora_Talamante,DoraMariaTalamante,,
450,Tapia Fonllem Margarita Elena,PRD,Representación Proporcional,Distrito Federal,D,PROPIETARIO,elena_tapiaf,margaritaelena.tapiafonllem,elenatapiafonllem,
451,Terán Guevara María Rebeca,PRI,Mayoría Relativa,San Luis Potosí,D,PROPIETARIO,,,,
452,Terán Juárez Jorge,PRI,Mayoría Relativa,San Luis Potosí,D,PROPIETARIO,,jorge.teranjuarez,,
453,Torres Cofiño Marcelo de Jesús,PAN,Mayoría Relativa,Coahuila,D,PROPIETARIO,marcelotorresc,marcelotorresc,marcelotorrescofino,
454,Torres Félix Sergio,PRI,Mayoría Relativa,Sinaloa,D,PROPIETARIO,SergioTorresCLN,sergiotorresfelix,,
455,Torres Flores Araceli,PT,Representación Proporcional,Veracruz,D,PROPIETARIO,,,,
456,Torres Mercado Tomás,PVEM,Representación Proporcional,Zacatecas,D,PROPIETARIO,Tomas_Torres,tomastorresmercado,,
457,Tovar Aragón Crystal,PRD,Representación Proporcional,Chihuahua,D,PROPIETARIO,CrystalTovar ,Crystal-Tovar-Aragón,,
458,Trejo Reyes José Isabel,PAN,Representación Proporcional,Zacatecas,D,PROPIETARIO,,joseisabel.trejo,joseisabeltrejo,
459,Treviño Cantú Javier,PRI,Representación Proporcional,Nuevo León,D,PROPIETARIO,javier_trevino,,javiertrevino,
460,Treviño Villarreal Pedro Pablo,PRI,Mayoría Relativa,Nuevo León,D,PROPIETARIO,PedroPabloTrev,PedroPabloTrevino,pedropablotrevino,
461,Ugalde Alegría Aurora Denisse,PRI,Mayoría Relativa,México,D,PROPIETARIO,denisse_ugalde,DenisseUgaldeAlegria,denisseugaldealegria,
462,Urciel Castañeda María Celia,PAN,Representación Proporcional,Nayarit,D,PROPIETARIO,,,,
463,Uribe Padilla Juan Carlos,PAN,Representación Proporcional,México,D,PROPIETARIO,,juancarlos.uribepadilla,Juan Carlos Uribe Padilla,
464,Valanci Buzali Simón,PRI,Representación Proporcional,Chiapas,D,PROPIETARIO,DipSimonValanci,,,
465,Valdés Palazuelos Jesús Antonio,PRI,Mayoría Relativa,Sinaloa,D,PROPIETARIO,ChuyValdesP,jesusvaldespalazuelos,,
466,Valencia Ramírez Aída Fabiola,MC,Mayoría Relativa,Oaxaca,D,PROPIETARIO,aidavalencialox, aidafvalencia,,
467,Valladares Couoh Cinthya Noemí,PAN,Representación Proporcional,Yucatán,D,PROPIETARIO,Cinthyavalladar,Cinthya-Valladares-Couoh,,
468,Valle Magaña José Luis,MC,Representación Proporcional,Jalisco,D,PROPIETARIO,@PepeValleM,,,
469,Valles Sampedro Lorenia Iveth,PRD,Representación Proporcional,Sonora,D,PROPIETARIO,LoreniaValles,Dip-Lorenia-Valles-Sampedro,Lorenia Valles Sampedro,
470,Vargas Martín del Campo Elizabeth,PAN,Mayoría Relativa,Guanajuato,D,PROPIETARIO,lizvargasmc,lizvargas.mc,,
471,Vargas Pérez Nelly del Carmen,MC,Representación Proporcional,Tabasco,D,PROPIETARIO,Nelly_Vargas,NellyVargasPerez,,
472,Vargas Vargas Laura Guadalupe,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,gpe_vargas1,lauraguadalupevargasvargas1,,
473,Vásquez Villanueva Martín de Jesús,PRI,Representación Proporcional,Oaxaca,D,PROPIETARIO,EquipoMVV,martin.vasquezvillanueva,vasquezvillanueva,
474,Vázquez Parissi Ponciano,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,PoncianoVP,ponciano.vazquez,,
475,Vázquez Saut Regina,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,Regina_Vazquez,ReginaVazquezSaut,ReginaVazquezTV,
476,Vega Vázquez José Humberto,PT,Mayoría Relativa,Tlaxcala,D,PROPIETARIO,,josehumberto.vegavazquez,,
477,Vela Reyes Marco Alonso,PRI,Mayoría Relativa,Yucatán,D,PROPIETARIO,MarcoVelaR,marcoalonso.velareyes,,
478,Velasco Orozco Víctor Hugo,PRI,Mayoría Relativa,Hidalgo,D,PROPIETARIO,VictorVelascoO,victor.velascoorozco.1,,
479,Velázquez Díaz María Guadalupe,PRI,Mayoría Relativa,Guanajuato,D,PROPIETARIO,Dip_Lupita,María Guadalupe Velázquez Díaz,,
480,Velázquez Ramírez Diana Karina,PRI,Mayoría Relativa,Chihuahua,D,PROPIETARIO,DianaKarinaVR,DKVR09,,
481,Velázquez Sánchez Maricela,PRI,Representación Proporcional,Morelos,D,PROPIETARIO,MaricelaMVS,maricelamvs,,
482,Villafuerte Trujillo Amilcar Augusto,PVEM,Mayoría Relativa,Chiapas,D,PROPIETARIO,,,,
483,Villalobos Seañez Jorge Iván,PAN,Representación Proporcional,Sinaloa,D,PROPIETARIO,JVillalobosS,JorgeVillalobosS,,
484,Villanueva Albarrán Gerardo,MC,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,VillanuevaSi,dip.villanueva,,
485,Villarreal García Ricardo,PAN,Mayoría Relativa,Guanajuato,D,PROPIETARIO,VillarrealRic,RicardoVillarrealGarcia01,,
486,Villarreal García Luis Alberto,PAN,Representación Proporcional,Guanajuato,D,PROPIETARIO,VillarrealGTO,luis.a.villarreal.98,,
487,Villaseñor Gudiño Blanca María,PRI,Representación Proporcional,Michoacán,D,PROPIETARIO,,villasenorgudino,,
488,Villaseñor Vargas María de la Paloma,PRI,Representación Proporcional,Distrito Federal,D,PROPIETARIO,palomavpri,palomavillasenorv,,
489,Vital Vera Martha Edith,PVEM,Representación Proporcional,Chiapas,D,PROPIETARIO,,,,
490,Vitela Rodríguez Alma Marina,PRI,Mayoría Relativa,Durango,D,PROPIETARIO,Marina_Vitela,Marina.Vitela2012,Marina Vitela,
491,Yamamoto Cázares Beatriz Eugenia,PAN,Representación Proporcional,Guanajuato,D,PROPIETARIO,BettyYamamoto,BettyYamamoto57,,
492,Yáñez Robles Elizabeth Oswelia,PAN,Representación Proporcional,Guanajuato,D,PROPIETARIO,BetsieYanez,,,
493,Zacarías Capuchino Darío,PRI,Mayoría Relativa,México,D,PROPIETARIO,DARIODIPUTADO,dipdario.zacariascapuchino,,
494,Zamora García Alfredo,PAN,Representación Proporcional,Baja California Sur,D,PROPIETARIO,,alfredo.zamoragarcia.31,,
495,Zamora Morales Fernando,PRI,Mayoría Relativa,México,D,PROPIETARIO,Fernando_Zamora,Fernando-Zamora-Morales,,
496,Zárate Salgado Fernando,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,FernandoZarateS,,,
497,Zavala Peniche María Beatriz,PAN,Representación Proporcional,Yucatán,D,PROPIETARIO,BeatrizZavala,beatrizzavalapeniche,beatrizzavala,
498,Zavaleta Salgado Ruth,PVEM,Representación Proporcional,Distrito Federal,D,PROPIETARIO,Zavaleta_Ruth,ruth.zavaleta.338,,
499,Zepeda Vidales Damián,PAN,Mayoría Relativa,Sonora,D,PROPIETARIO,damianzepeda,,,
500,Zepeda González Francisco Alberto,PRI,Mayoría Relativa,Colima,D,PROPIETARIO,PicoZepeda,,,
,,,,,,,,,,
,SENADORES,,,,,,,,,
501,Aispuro Torres José Rosas,PAN,Primera Minoría,Durango,S,PROPIETARIO,AispuroDurango,JoseRosasAispuroTorres,,
502,Albores Gleason Roberto Armando,PRI,Mayoría Relativa,Chiapas,S,PROPIETARIO,ralbores,Albores.Gleason,tuvozesmipalabra,
503,Alcalá Ruiz Blanca María del Socorro,PRI,Mayoría Relativa,Puebla,S,PROPIETARIO,SoyBlancaAlcala,SoyBlancaAyala,,
504,Álvarez García Ivonne Liliana,PRI,Mayoría Relativa,Nuevo León,S,PROPIETARIO,alvarez_ivonne,IvonneAlvarezGarcia,IvonneSenado,www.ivonnealvarez.com
505,Amador Gaxiola Daniel,PRI,Mayoría Relativa,Sinaloa,S,PROPIETARIO,danielamadorg,danielamadorgaxiola,danielamadorgaxiola,www.danielamador.org
506,Araujo Lara Angélica del Rosario,PRI,Primera Minoría,Yucatán,S,PROPIETARIO,AngelicaAraujo,Angélica-Araujo-Lara,angelicaaraujolara,www.angelicaarujo.com.mx
507,Arriola Gordillo Mónica Tzasna,PANAL,Representación Proporcional,,S,PROPIETARIO,MonicaArriola,MonicaArriolaG,,
508,Ávila Ruiz Daniel Gabriel,PAN,Mayoría Relativa,Yucatán,S,PROPIETARIO,danielavilamx,danielgabrielavila,,danielavilaruiz.mx
509,Ayala Almeida Joel,PRI,Representación Proporcional,,S,PROPIETARIO,JoelAyalaA,,,
510,Barbosa Huerta Luis Miguel Gerónimo,PRD,Representación Proporcional,,S,PROPIETARIO,SenBarbosa,Lmiguel.Barbos,LMiguelBarbosa,
511,Barrales Magdaleno María Alejandra,PRD,Mayoría Relativa,Distrito Federal,S,PROPIETARIO,Ale_BarralesM,AlejandraBarrales,AlejandraBarralesM,www.alejandrabarrales.com.mx
512,Barrera Tapia María Elena,PVEM,Mayoría Relativa,México,S,PROPIETARIO,mariaelenabt,MariaElenaBarreraT,mariaelenabt,
513,Barroso Agramont Ricardo,PRI,Mayoría Relativa,Baja California Sur,S,PROPIETARIO,RicardoBarrosoA,RicardoBarrosoAgramont,,www.ricardobarroso.com.mx
514,Bartlett Díaz Manuel,PT,Representación Proporcional,,S,PROPIETARIO,ManuelBartlett,manuel.bartlettdiaz.9,,
515,Beristain Navarrete Luz María,PRD,Primera Minoría,Quintana Roo,S,PROPIETARIO,LuzMaBeristain,beristain.luz.maria,luzmaberistain,www.luzmariaberistain.com
516,Blásquez Salinas Marco Antonio,PT,Primera Minoría,Baja California,S,PROPIETARIO,marcobla2,MarcoAntonioBlásquezSalinasSomosunaBonitaFamilia,Marco Blasquez,
517,Burgos García Enrique,PRI,Primera Minoría,Querétaro,S,PROPIETARIO,EnriqueBurgosG,EnriqueBurgosQro,EnriqueBurgosG2012,www.enriqueburgosgarcia.com
518,Búrquez Valenzuela Francisco de Paula,PAN,Primera Minoría,Sonora,S,PROPIETARIO,,,,
519,Calderón Hinojosa Luisa María de Guadalupe,PAN,Representación Proporcional,,S,PROPIETARIO,CocoaCalderon,Cocoa.Calderón.H,luisamariacalderon,
520,Camacho Solís Víctor Manuel,PRD,Representación Proporcional,,S,PROPIETARIO,,Manuel-Camacho-Solìs,,
521,Casillas Romero Jesús,PRI,Mayoría Relativa,Jalisco,S,PROPIETARIO,JesusCasillas06,jesuscasillas06,Jcasillas06,www.jesuscasillas.com
522,Cavazos Lerma Manuel,PRI,Primera Minoría,Tamaulipas,S,PROPIETARIO,mclsenador,Manuel-Cavazos-Lerma,manuelcavazoslerma,
523,Cervantes Andrade Raúl,PRI,Representación Proporcional,,S,PROPIETARIO,,,,
524,Chico Herrera Miguel Ángel,PRI,Primera Minoría,Guanajuato,S,PROPIETARIO,MiguelChicoOfl,ChicoHerreraMA,,
525,Cordero Arroyo Ernesto Javier,PAN,Representación Proporcional,,S,PROPIETARIO,ErnestoCordero,ernestocorderoarroyo,ErnestoCorderoA,ernestocordero.mx
526,Corral Jurado Javier,PAN,Primera Minoría,Chihuahua,S,PROPIETARIO,Javier_Corral,javiercorralj,JavierCorralJurado,www.javiercorral.org
527,Cota Jiménez Manuel Humberto,PRI,Mayoría Relativa,Nayarit,S,PROPIETARIO,ManuelCota,Manuel-Cota-Jimenez,,
528,Cuéllar Cisneros Lorena,PRD,Mayoría Relativa,Tlaxcala,S,PROPIETARIO,LorenaCuellar,LorenaCuellarCisneros,,
529,Cuevas Barrón Gabriela,PAN,Representación Proporcional,,S,PROPIETARIO,GabyCuevas,EstoyConGaby,EstoyConGaby,www.gabrielacuevas.org
530,Dávila Fernández Adriana,PAN,Primera Minoría,Tlaxcala,S,PROPIETARIO,AdrianaDavilaF,Adriana-Dávila,Adriana Dávila Fernández,
531,De la Peña Gómez Angélica,PRD,Representación Proporcional,,S,PROPIETARIO,angelicadelap,angelica.delapenagomez,Angelicadelapena,
532,Delgado Carrillo Mario Martín,PRD,Mayoría Relativa,Distrito Federal,S,PROPIETARIO,mario_delgado1,mariodelgadocarrillo,mariodelgadocarrillo,www.mariodf.mx
533,Demédicis Hidalgo Fidel,PRD,Mayoría Relativa,Morelos,S,PROPIETARIO,fideldemedicis,Fidel-Demédicis-Hidalgo,,
534,Díaz Lizama Rosa Adriana,PAN,Mayoría Relativa,Yucatán,S,PROPIETARIO,RosaAdrianaMx,,,
535,Díaz Salazar María Cristina,PRI,Representación Proporcional,,S,PROPIETARIO,Cristina_Diaz_S,RosaAdrianaDiazLizama,,
536,Domínguez Servién Francisco,PAN,Mayoría Relativa,Querétaro,S,PROPIETARIO,,Francisco-Domínguez-Servién,,
537,Encinas Rodríguez Alejandro de Jesús,PRD,Primera Minoría,México,S,PROPIETARIO, A_Encinas_R,UnidosPodemosMas,sandraprd1,www.alejandroencinas.com.mx
538,Escudero Morales Pablo,PVEM,Primera Minoría,Distrito Federal,S,PROPIETARIO,Pabloescuderom,Pablo-Escudero-Morales,,
